SiteCode,Name_EN,Name_FR,Latitude,Longitude,AltMin,AltMax,Area,DateAssessed,PercentProtected,BoundaryGeneralized,Level,CriteriaMet,ConservationActions,Landcover,Province,Species
BC179,"Creston Valley","Creston Valley",49.14,-116.59,528,873,186.43,"2024-02-15 00:00:00",37,0,National,"Global: . National: A1 - Threatened species (amphibians and reptiles); B1 - Individual geographically restricted species (amphibians and reptiles); D1 - Demographic aggregations (fishes)","Invasive/problematic species control, Legislation, Awareness & communications, Site/area management, Site/area protection, Policies and regulations, Resource & habitat protection","Temperate or sub-polar needleleaf forest(5.23%), Barren lands(0.36%), Cropland(43.57%), Urban(2.81%), Wetland(2.69%), Water(24.7%), Temperate or sub-polar grassland(5.99%), Temperate or sub-polar shrubland(14.65%), ","British Columbia","Northern Leopard Frog(Lithobates pipiens pop. 1), White Sturgeon(Acipenser transmontanus pop. 1), "
BC258,"Skookumchuck Prairie","Skookumchuck Prairie",49.85,-115.74,769,932,125.09,"2023-09-25 00:00:00",4,0,National,"Global: . National: A1 - Threatened species (birds)","Habitat & natural process restoration, Site/area protection, Site/area management","Barren lands(2.27%), Cropland(1.26%), Temperate or sub-polar needleleaf forest(24.87%), Urban(8.05%), Temperate or sub-polar shrubland(5.38%), Water(5.4%), Temperate or sub-polar grassland(52.76%), ","British Columbia","Lewis's Woodpecker(Melanerpes lewis), "
BC272,K'ómoks,K’ómoks,49.71,-125.02,0,301,565.01,"2024-06-26 00:00:00",9,0,National,"Global: A1 - Threatened species (birds, vascular plants); D1 - Demographic aggregations (birds). National: A1 - Threatened species (birds, fishes, invertebrates, vascular plants); B1 - Individual geographically restricted species (fishes, invertebrates, vascular plants); D1 - Demographic aggregations (birds, fishes)","Awareness & communications, Species re-introduction, Site/area management, Species recovery, Legislation, Resource & habitat protection, Site/area protection, Policies and regulations","Temperate or sub-polar grassland(3.52%), Water(41.56%), Barren lands(0.41%), Urban(9.9%), Temperate or sub-polar shrubland(12.93%), Wetland(0%), Cropland(8.19%), Temperate or sub-polar needleleaf forest(23.19%), Mixed forest(0.29%), ","British Columbia","Coast Microseris(Microseris bigelovii), Trumpeter Swan(Cygnus buccinator), Western Brook Lamprey(Lampetra richardsoni pop. 1), Iceland Gull(Larus glaucoides), Surf Scoter(Melanitta perspicillata), Marbled Murrelet(Brachyramphus marmoratus), Taylor's Checkerspot(Euphydryas editha taylori), Black Oystercatcher(Haematopus bachmani), Pacific Herring(Clupea pallasii), Macoun's Meadowfoam(Limnanthes macounii), Short-billed Gull(Larus brachyrhynchus), Common Wood-Nymph(Cercyonis pegala incana), White-winged Scoter(Melanitta deglandi), Glaucous-winged Gull(Larus glaucescens), Sand-verbena Moth(Copablepharon fuscum), "
BC283,"Trial Islands","Trial Islands",48.40,-123.31,1,22,0.19,"2019-12-11 00:00:00",100,0,Global,"Global: Threatened vascular plants (A1); Geographically restricted vascular plants (individual species) (B1). National: ","Site/area protection, Invasive/problematic species control, Site/area management, Resource & habitat protection","Barren lands(26.13%), Temperate or sub-polar grassland(41.77%), Water(31.9%), ","British Columbia","Victoria's Owl-clover(Castilleja victoriae), Macoun's Meadowfoam(Limnanthes macounii), "
BC284,"Fort Rodd Hill","Fort Rodd Hill",48.43,-123.45,3,48,0.28,"2022-09-21 00:00:00",5,0,National,"Global: Threatened vascular plants (A1). National: Threatened vascular plants (A1); Geographically restricted vascular plants (individual species) (B1)","Site/area protection, Species recovery, Species re-introduction, Invasive/problematic species control","Temperate or sub-polar shrubland(4.1%), Barren lands(5.35%), Water(4.82%), Urban(16.5%), Temperate or sub-polar grassland(24.32%), Temperate or sub-polar needleleaf forest(44.9%), ","British Columbia","Macoun's Meadowfoam(Limnanthes macounii), Deltoid Balsamroot(Balsamorhiza deltoidea), "
BC285,"Little Quarry Lake","Little Quarry Lake",49.66,-124.11,50,73,0.31,"2022-09-21 00:00:00",16,0,National,"Global: . National: A1 - Threatened species (fishes); B1 - Individual geographically restricted species (fishes)","Site/area management","Water(74.54%), Temperate or sub-polar needleleaf forest(23.89%), ","British Columbia","Little Quarry Lake Benthic Threespine Stickleback(Gasterosteus aculeatus pop. 2), Little Quarry Lake Limnetic Threespine Stickleback(Gasterosteus aculeatus pop. 3), "
BC286,"McKenzie - Pemberton","McKenzie - Pemberton",50.32,-122.76,206,408,2.94,"2022-09-21 00:00:00",2,0,National,"Global: . National: Threatened amphibians and reptiles (A1); Geographically restricted amphibians and reptiles (individual species) (B1)","Species recovery","Mixed forest(0.9%), Urban(11.07%), Barren lands(1.46%), Temperate or sub-polar shrubland(17.76%), Temperate or sub-polar grassland(11.86%), Temperate or sub-polar needleleaf forest(56.76%), ","British Columbia","Sharp-tailed Snake(Contia tenuis pop. 2), "
BC287,"Yaq̓it ʔa·knuqⱡi’it - Tobacco Plains","Yaq̓it ʔa·knuqⱡi’it - Tobacco Plains",49.05,-115.10,778,966,63.16,"2022-09-21 00:00:00",1,0,National,"Global: A1 - Threatened species (vascular plants). National: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants)","Habitat & natural process restoration, Invasive/problematic species control, Site/area management","Cropland(3.09%), Temperate or sub-polar shrubland(1.53%), Water(1.21%), Temperate or sub-polar needleleaf forest(47.22%), Temperate or sub-polar grassland(44.8%), Urban(2.02%), Barren lands(0.13%), ","British Columbia","Spalding's Campion(Silene spaldingii), "
BC288,"Yat’aayi Héen","Yat’aayi Héen",59.41,-133.58,670,706,0.54,"2023-03-27 00:00:00",0,0,National,"Global: . National: A1 - Threatened species (fishes); B1 - Individual geographically restricted species (fishes)","Site/area management, Invasive/problematic species control","Water(1.47%), Barren lands(10.32%), Temperate or sub-polar shrubland(7.7%), Urban(5.34%), Temperate or sub-polar needleleaf forest(66.84%), Temperate or sub-polar grassland(2.35%), Mixed forest(5.75%), ","British Columbia","Lake Chub(Couesius plumbeus pop. 3), "
BC289,"Misty Lake","Misty Lake",50.61,-127.26,61,116,0.93,"2023-10-27 00:00:00",53,0,National,"Global: A1 - Threatened species (fishes); B1 - Individual geographically restricted species (fishes). National: ","Site/area protection, Site/area management","Temperate or sub-polar needleleaf forest(53.41%), Urban(1.18%), Water(41.62%), Temperate or sub-polar shrubland(3.52%), ","British Columbia","Misty Lake Lentic Threespine Stickleback(Gasterosteus sp. 18), Misty Lake Lotic Threespine Stickleback(Gasterosteus sp. 19), "
BC290,"Lax Kul Nii Luutiksm - Bonilla","Lax Kul Nii Luutiksm - Bonilla",53.46,-130.62,0,219,317.6,"2023-10-27 00:00:00",5,0,National,"Global: . National: D1 - Demographic aggregations (mammals)","Site/area protection, Site/area management","Temperate or sub-polar needleleaf forest(1.82%), Water(97.69%), Barren lands(0.2%), Wetland(0.12%), Temperate or sub-polar grassland(0.13%), Temperate or sub-polar shrubland(0.03%), ","British Columbia","Steller Sea Lion(Eumetopias jubatus), "
BC291,"North Danger Rocks","North Danger Rocks",53.25,-130.34,0,0,338.86,"2023-10-27 00:00:00",16,0,National,"Global: . National: D1 - Demographic aggregations (mammals)","Site/area protection","Water(100%), ","British Columbia","Steller Sea Lion(Eumetopias jubatus), "
BC292,"Virgin and Pearl Rocks","Virgin and Pearl Rocks",51.32,-128.12,0,43,676,"2023-11-22 00:00:00",0,0,National,"Global: . National: D1 - Demographic aggregations (mammals)",,"Temperate or sub-polar shrubland(0%), Barren lands(0.01%), Temperate or sub-polar needleleaf forest(0.08%), Water(99.91%), ","British Columbia","Steller Sea Lion(Eumetopias jubatus), "
BC293,"Warrior Rocks","Warrior Rocks",54.06,-130.85,0,44,311.81,"2023-12-14 00:00:00",3,0,National,"Global: . National: D1 - Demographic aggregations (mammals)","Resource & habitat protection, Site/area protection, Site/area management, Species management","Barren lands(0.02%), Temperate or sub-polar shrubland(0.01%), Temperate or sub-polar grassland(0.01%), Water(99.19%), Wetland(0.01%), Temperate or sub-polar needleleaf forest(0.76%), ","British Columbia","Steller Sea Lion(Eumetopias jubatus), "
BC294,"Durrance Lake - Cole Hill","Durrance Lake - Cole Hill",48.55,-123.47,50,261,1.99,"2024-01-22 00:00:00",30,0,National,"Global: . National: A1 - Threatened species (amphibians and reptiles, invertebrates)","Site/area management, Site/area protection, Awareness & communications, Invasive/problematic species control","Temperate or sub-polar needleleaf forest(86.79%), Water(3.92%), Temperate or sub-polar grassland(0.38%), Mixed forest(4.76%), Urban(1.4%), Temperate or sub-polar shrubland(2.67%), ","British Columbia","Sharp-tailed Snake(Contia tenuis pop. 1), Blue-grey Taildropper(Prophysaon coeruleum), "
BC295,"Gonzales Point","Gonzales Point",48.41,-123.30,0,15,0.02,"2024-01-22 00:00:00",40,0,National,"Global: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants). National: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants)",,"Water(47.31%), ","British Columbia","Victoria's Owl-clover(Castilleja victoriae), Bearded Owl's-clover(Triphysaria versicolor), Macoun's Meadowfoam(Limnanthes macounii), "
BC296,"Harling Point","Harling Point",48.41,-123.32,3,13,0.02,"2024-01-22 00:00:00",36,0,National,"Global: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants). National: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants)","Site/area management","Urban(93.62%), ","British Columbia","Macoun's Meadowfoam(Limnanthes macounii), Victoria's Owl-clover(Castilleja victoriae), Bear's-foot Sanicle(Sanicula arctopoides), Coast Microseris(Microseris bigelovii), Bearded Owl's-clover(Triphysaria versicolor), "
BC297,Klinse-Za,Klinse-Za,55.74,-122.93,633,2406,4483.35,"2024-01-22 00:00:00",18,0,National,"Global: . National: A1 - Threatened species (mammals); B1 - Individual geographically restricted species (mammals)","Site/area protection, Awareness & communications, Invasive/problematic species control, Resource & habitat protection, Policies and regulations, Site/area management, Species recovery, Species management","Urban(0.06%), Temperate or sub-polar needleleaf forest(66.15%), Wetland(0.16%), Temperate or sub-polar shrubland(12.51%), Barren lands(5.3%), Mixed forest(8.06%), Sub-polar taiga needleleaf forest(0%), Temperate or sub-polar grassland(7.09%), Temperate or sub-polar broadleaf deciduous forest(0%), Water(0.64%), ","British Columbia","Caribou(Rangifer tarandus pop. 18), "
BC298,"Kohweechela - Mary Tod Island","Kohweechela - Mary Tod Island",48.43,-123.30,0,8,0.03,"2024-01-22 00:00:00",100,0,National,"Global: . National: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants)","Site/area protection, Species management, Invasive/problematic species control","Water(44.85%), Temperate or sub-polar grassland(26.45%), Barren lands(22.94%), ","British Columbia","Bearded Owl's-clover(Triphysaria versicolor), Erect Pygmyweed(Crassula connata), Bear's-foot Sanicle(Sanicula arctopoides), Tall Woolly-heads(Psilocarphus elatior), "
BC299,"Trafalgar Park","Trafalgar Park",48.41,-123.32,0,17,0.02,"2024-01-22 00:00:00",30,0,National,"Global: Threatened vascular plants (A1). National: Threatened vascular plants (A1); Geographically restricted vascular plants (individual species) (B1)",,"Urban(94.16%), ","British Columbia","Coast Microseris(Microseris bigelovii), Macoun's Meadowfoam(Limnanthes macounii), "
BC300,"Uplands Park - Cattle Point","Uplands Park - Cattle Point",48.44,-123.29,0,26,0.39,"2024-01-22 00:00:00",8,0,National,"Global: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants). National: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants)","Invasive/problematic species control, Habitat & natural process restoration, Species management, Species re-introduction, Species recovery, Site/area management, Awareness & communications, Site/area protection","Temperate or sub-polar needleleaf forest(10.89%), Temperate or sub-polar grassland(18.09%), Water(2.7%), Mixed forest(5.18%), Urban(36.82%), Temperate or sub-polar shrubland(26.15%), ","British Columbia","Coast Microseris(Microseris bigelovii), Tall Woolly-heads(Psilocarphus elatior), Water-plantain Buttercup(Ranunculus alismifolius), Kellogg's Rush(Juncus kelloggii), Macoun's Meadowfoam(Limnanthes macounii), Victoria's Owl-clover(Castilleja victoriae), Bearded Owl's-clover(Triphysaria versicolor), Yellow Montane Violet(Viola praemorsa var. praemorsa), Purple Sanicle(Sanicula bipinnatifida), Muhlenberg's Centaury(Zeltnera muehlenbergii), "
BC301,"Christmas Hill","Christmas Hill",48.47,-123.38,56,103,0.14,"2024-01-23 00:00:00",0,0,National,"Global: . National: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants)","Habitat & natural process restoration, Awareness & communications, Site/area management, Invasive/problematic species control, Resource & habitat protection, Site/area protection, Species recovery, Species management, Compliance and enforcement","Temperate or sub-polar grassland(5.51%), Temperate or sub-polar needleleaf forest(55.22%), Urban(37.25%), ","British Columbia","Tall Woolly-heads(Psilocarphus elatior), "
BC302,"XwaYeN - Race Rocks","XwaYeN - Race Rocks",48.30,-123.53,0,3,2.27,"2024-01-23 00:00:00",100,0,National,"Global: . National: D1 - Demographic aggregations (mammals)","Site/area protection, Invasive/problematic species control, Resource & habitat protection, Training, Site/area management, Formal education","Water(99.55%), Barren lands(0.43%), ","British Columbia","Northern Elephant Seal(Mirounga angustirostris), "
BC303,"Witty's Beach","Witty's Beach",48.39,-123.51,1,6,0.03,"2024-01-23 00:00:00",93,0,National,"Global: . National: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants)","Site/area protection, Species re-introduction, Invasive/problematic species control, Site/area management","Barren lands(32.7%), Water(27.02%), Urban(18.65%), ","British Columbia","Contorted-pod Evening-primrose(Camissonia contorta), "
BC304,"Nanaimo Lakes","Nanaimo Lakes",49.07,-124.44,250,1786,467.63,"2024-01-23 00:00:00",3,0,National,"Global: A1 - Threatened species (mammals); B1 - Individual geographically restricted species (mammals). National: ","Site/area protection, Species recovery, Site/area management, Awareness & communications, Legislation, Species management","Temperate or sub-polar needleleaf forest(71.81%), Temperate or sub-polar grassland(6.36%), Temperate or sub-polar shrubland(17.07%), Mixed forest(0.15%), Cropland(0.01%), Urban(1.83%), Barren lands(1.51%), Water(1.26%), ","British Columbia","Vancouver Island Marmot(Marmota vancouverensis), "
BC305,"Elliot Bluff","Elliot Bluff",48.79,-123.21,8,55,0.060000000000000005,"2024-02-15 00:00:00",0,0,National,"Global: . National: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants)",,"Temperate or sub-polar needleleaf forest(65.54%), Water(19.97%), Barren lands(14.17%), ","British Columbia","Lindley's False Silverpuffs(Uropappus lindleyi), "
BC306,"Mount Warburton-Pike - Mount Fisher","Mount Warburton-Pike - Mount Fisher",48.77,-123.17,17,400,1.09,"2024-02-15 00:00:00",20,0,National,"Global: A1 - Threatened species (vascular plants). National: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants)","Site/area management, Site/area protection, Invasive/problematic species control, Species recovery","Urban(14.93%), Barren lands(16.14%), Temperate or sub-polar needleleaf forest(29.22%), Temperate or sub-polar grassland(39.52%), ","British Columbia","Winecup Clarkia(Clarkia purpurea), Lindley's False Silverpuffs(Uropappus lindleyi), White Meconella(Meconella oregana), Branched Clover(Trifolium dichotomum), Slender Popcornflower(Plagiobothrys tenellus), Purple Sanicle(Sanicula bipinnatifida), "
BC307,"Liard River Hot Springs","Liard River Hot Springs",59.43,-126.10,462,565,2.07,"2024-03-19 00:00:00",93,0,National,"Global: A1 - Threatened species (invertebrates); B1 - Individual geographically restricted species (invertebrates). National: A1 - Threatened species (fishes); B1 - Individual geographically restricted species (fishes)","Site/area management, Site/area protection, Resource & habitat protection","Temperate or sub-polar needleleaf forest(29.25%), Wetland(8.01%), Urban(0.69%), Temperate or sub-polar broadleaf deciduous forest(26.02%), Mixed forest(20.36%), Water(0.41%), Barren lands(0.51%), Temperate or sub-polar shrubland(14.6%), ","British Columbia","Lake Chub(Couesius plumbeus pop. 2), Hotwater Physa(Physella wrighti), "
BC308,"Paxton Lake","Paxton Lake",49.71,-124.52,96,115,0.27,"2024-04-17 00:00:00",0,0,National,"Global: A1 - Threatened species (fishes); B1 - Individual geographically restricted species (fishes). National: ",,"Temperate or sub-polar shrubland(1.89%), Temperate or sub-polar needleleaf forest(30.85%), Water(66.62%), ","British Columbia","Paxton Lake Limnetic Threespine Stickleback(Gasterosteus sp. 4), Paxton Lake Benthic Threespine Stickleback(Gasterosteus sp. 5), "
BC309,"Pitt Lake","Pitt Lake",49.43,-122.54,0,149,57.86,"2024-05-22 00:00:00",19,0,National,"Global: . National: A1 - Threatened species (fishes); B1 - Individual geographically restricted species (fishes)",,"Temperate or sub-polar grassland(0.14%), Temperate or sub-polar shrubland(0.54%), Temperate or sub-polar needleleaf forest(3.81%), Barren lands(0.09%), Mixed forest(0.31%), Urban(0.05%), Water(95.05%), ","British Columbia","Longfin Smelt(Spirinchus thaleichthys pop. 1), "
BC310,"Cowichan, Mesachie and Bear Lakes","Cowichan, Mesachie and Bear Lakes",48.82,-124.16,161,227,66.65,"2024-05-22 00:00:00",0,0,National,"Global: A1 - Threatened species (fishes); B1 - Individual geographically restricted species (fishes). National: ","Species management, Species recovery, Site/area management","Temperate or sub-polar shrubland(0.83%), Mixed forest(0.04%), Barren lands(0.07%), Urban(1.12%), Temperate or sub-polar needleleaf forest(2.33%), Water(95.41%), Temperate or sub-polar grassland(0.2%), ","British Columbia","Vancouver Lamprey(Entosphenus macrostomus), "
BC311,"Flathead West","Flathead West",49.09,-114.66,1248,2647,251.21,"2024-05-22 00:00:00",10,0,National,"Global: . National: A1 - Threatened species (amphibians and reptiles); B1 - Individual geographically restricted species (amphibians and reptiles)","Resource & habitat protection, Private sector standards & codes, Site/area management, Site/area protection","Water(0.2%), Temperate or sub-polar grassland(21.91%), Urban(0.61%), Barren lands(2.46%), Temperate or sub-polar shrubland(17.14%), Temperate or sub-polar needleleaf forest(57.68%), ","British Columbia","Rocky Mountain Tailed Frog(Ascaphus montanus), "
BC313,"Yahk - Gilnockie","Yahk - Gilnockie",49.13,-115.72,1045,2184,281.09,"2024-06-26 00:00:00",6,0,National,"Global: . National: A1 - Threatened species (amphibians and reptiles); B1 - Individual geographically restricted species (amphibians and reptiles)","Resource & habitat protection, Private sector standards & codes, Site/area protection, Site/area management","Water(0.05%), Urban(0.5%), Temperate or sub-polar grassland(10.54%), Temperate or sub-polar needleleaf forest(76.69%), Barren lands(0.25%), Temperate or sub-polar shrubland(11.98%), ","British Columbia","Rocky Mountain Tailed Frog(Ascaphus montanus), "
BC314,"Elmer Creek","Elmer Creek",49.02,-116.14,826,2050,14.64,"2024-06-26 00:00:00",0,0,National,"Global: . National: A1 - Threatened species (amphibians and reptiles)","Private sector standards & codes, Resource & habitat protection, Site/area management, Site/area protection","Temperate or sub-polar shrubland(9.64%), Urban(0.46%), Temperate or sub-polar grassland(11.78%), Barren lands(0.26%), Temperate or sub-polar needleleaf forest(77.84%), ","British Columbia","Rocky Mountain Tailed Frog(Ascaphus montanus), "
BC315,"Mount Baldy","Mount Baldy",49.18,-119.22,1769,1914,0.22,"2024-06-26 00:00:00",0,0,National,"Global: . National: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants)","Species recovery","Temperate or sub-polar grassland(17.41%), Temperate or sub-polar needleleaf forest(72.77%), Temperate or sub-polar shrubland(8.09%), ","British Columbia","Lemmon's Holly Fern(Polystichum lemmonii), "
BC316,"Harrison Lake","Harrison Lake",49.52,-121.87,6,322,254.99,"2024-07-24 00:00:00",1,0,National,"Global: . National: A1 - Threatened species (fishes); B1 - Individual geographically restricted species (fishes)","Site/area management","Mixed forest(0.36%), Water(89.14%), Temperate or sub-polar shrubland(0.95%), Urban(0.19%), Temperate or sub-polar needleleaf forest(8.74%), Cropland(0.04%), Barren lands(0.06%), Temperate or sub-polar grassland(0.52%), ","British Columbia","Longfin Smelt(Spirinchus thaleichthys pop. 1), "
BC317,"Mount Tzuhalem","Mount Tzuhalem",48.79,-123.64,72,301,0.33,"2024-09-25 00:00:00",49,0,National,"Global: . National: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants)","Site/area management, Resource & habitat protection, Site/area protection","Temperate or sub-polar grassland(9.23%), Urban(1.7%), Temperate or sub-polar needleleaf forest(86.32%), ","British Columbia","Fern-leaved Desert-parsley(Lomatium dissectum), Winecup Clarkia(Clarkia purpurea), Yellow Montane Violet(Viola praemorsa var. praemorsa), Deltoid Balsamroot(Balsamorhiza deltoidea), "
BC318,"Trout Creek Ecological Reserve","Trout Creek Ecological Reserve",49.56,-119.70,530,905,1.64,"2024-06-26 00:00:00",50,0,National,"Global: . National: A1 - Threatened species (vascular plants); B1 - Individual geographically restricted species (vascular plants)","Site/area protection, Legislation","Temperate or sub-polar needleleaf forest(16.46%), Cropland(0.56%), Temperate or sub-polar shrubland(67.68%), Barren lands(8.92%), Temperate or sub-polar grassland(5.52%), Urban(0.77%), ","British Columbia","Woody-pod Milk-vetch(Astragalus sclerocarpus), "
